"","Latitude","Longitude","Timestamp","Twitter Id","TWEET","favourite_cnt","is_retweeted","is_retweet","Hashtags","Polarity_val"
"3561",-999.99,-999.99,"Tue Nov 04 21:51:07 IST 2014","reny_bieber","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3562",-999.99,-999.99,"Tue Nov 04 21:51:07 IST 2014","LatersBaby94","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3563",-999.99,-999.99,"Tue Nov 04 21:51:06 IST 2014","GotThisLove","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3564",-999.99,-999.99,"Tue Nov 04 21:51:06 IST 2014","CAMRENSAFADA","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3565",-999.99,-999.99,"Tue Nov 04 21:51:05 IST 2014","empireauslex","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3566",-999.99,-999.99,"Tue Nov 04 21:51:05 IST 2014","courtneycamp98","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3567",-999.99,-999.99,"Tue Nov 04 21:51:04 IST 2014","1Dieguez","@CodySimpson @RooseveltField @Macys @raggedmag nice",1,FALSE,FALSE,"[]",0
"3568",-999.99,-999.99,"Tue Nov 04 21:51:04 IST 2014","FeliciaWierdo","@CodySimpson @RooseveltField @Macys @raggedmag follow me pls? x",0,FALSE,FALSE,"[]",0
"3569",-999.99,-999.99,"Tue Nov 04 21:51:04 IST 2014","ElisyaneSoares","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3570",-999.99,-999.99,"Tue Nov 04 21:51:03 IST 2014","strxmberg_","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3571",-999.99,-999.99,"Tue Nov 04 21:51:03 IST 2014","babybabyoon","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3572",-999.99,-999.99,"Tue Nov 04 21:51:02 IST 2014","Esthercita_Mg","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3573",-999.99,-999.99,"Tue Nov 04 21:51:02 IST 2014","daanbanaannn__","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3574",-999.99,-999.99,"Tue Nov 04 21:51:02 IST 2014","BigTime1DFangrl","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3575",-999.99,-999.99,"Tue Nov 04 21:51:02 IST 2014","celinepllippens","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3576",-999.99,-999.99,"Tue Nov 04 21:51:01 IST 2014","MaryDrew191","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3577",-999.99,-999.99,"Tue Nov 04 21:51:01 IST 2014","ollgiIbert","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3578",-999.99,-999.99,"Tue Nov 04 21:51:01 IST 2014","allisimpson","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3579",-999.99,-999.99,"Tue Nov 04 21:51:00 IST 2014","LovatoOfNeon","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3580",-999.99,-999.99,"Tue Nov 04 21:51:00 IST 2014","5SOSEMA_","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3581",-999.99,-999.99,"Tue Nov 04 21:51:00 IST 2014","accolasvoiceus","@CodySimpson @RooseveltField @Macys @raggedmag REFOLLOW ME I WAS HACKED AND I LOST YOUR FOLLOW. \n\nI NEED YOU TO FOLLOW ME AGAIN55",0,FALSE,FALSE,"[]",0
"3582",-999.99,-999.99,"Tue Nov 04 21:51:00 IST 2014","mydearbtr","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3583",-999.99,-999.99,"Tue Nov 04 21:51:00 IST 2014","Sarah1DJbAm","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3584",-999.99,-999.99,"Tue Nov 04 21:51:00 IST 2014","ingrierarms","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3585",-999.99,-999.99,"Tue Nov 04 21:50:59 IST 2014","depression_bubb","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3586",-999.99,-999.99,"Tue Nov 04 21:50:59 IST 2014","BTRR51113","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3587",-999.99,-999.99,"Tue Nov 04 21:50:59 IST 2014","MaylaAlampi","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3588",-999.99,-999.99,"Tue Nov 04 21:50:58 IST 2014","Justin_Janoskx","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3589",-999.99,-999.99,"Tue Nov 04 21:50:58 IST 2014","osnapitzkathyy","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3590",-999.99,-999.99,"Tue Nov 04 21:50:58 IST 2014","HiluHoran","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3591",-999.99,-999.99,"Tue Nov 04 21:50:58 IST 2014","AyloooBelieber","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3592",-999.99,-999.99,"Tue Nov 04 21:50:57 IST 2014","ticheroes","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3593",-999.99,-999.99,"Tue Nov 04 21:50:57 IST 2014","clmencepent","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3594",-999.99,-999.99,"Tue Nov 04 21:50:57 IST 2014","combattereperte","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
